,rating,date,variation,verified_reviews,feedback,verified_reviews_tokenized,verified_reviews_clean
22,4,2018-07-30,Heather Gray Fabric ,have only had it set up for a few days still adding smart home devices to it the speaker is great for playing music i like the size we have it stationed on the kitchen counter and it’s not intrusive to look at,1,"['have', 'only', 'had', 'it', 'set', 'up', 'for', 'a', 'few', 'days', 'still', 'adding', 'smart', 'home', 'devices', 'to', 'it', 'the', 'speaker', 'is', 'great', 'for', 'playing', 'music', 'i', 'like', 'the', 'size', 'we', 'have', 'it', 'stationed', 'on', 'the', 'kitchen', 'counter', 'and', 'it\xe2\x80\x99s', 'not', 'intrusive', 'to', 'look', 'at']",
23,5,2018-07-30,Charcoal Fabric ,i love it it plays my sleep sounds immediately when i ask,1,"['i', 'love', 'it', 'it', 'plays', 'my', 'sleep', 'sounds', 'immediately', 'when', 'i', 'ask']",
24,3,2018-07-30,Sandstone Fabric ,i got a second unit for the bedroom i was expecting the sounds to be improved but i didnt really see a difference at all  overall not a big improvement over the st generation,1,"['i', 'got', 'a', 'second', 'unit', 'for', 'the', 'bedroom', 'i', 'was', 'expecting', 'the', 'sounds', 'to', 'be', 'improved', 'but', 'i', 'didnt', 'really', 'see', 'a', 'difference', 'at', 'all', 'overall', 'not', 'a', 'big', 'improvement', 'over', 'the', 'st', 'generation']",
25,5,2018-07-30,Sandstone Fabric ,amazing product,1,"['amazing', 'product']",
26,5,2018-07-30,Charcoal Fabric ,i love my echo its easy to operate loads of funit is everything as advertised i use it mainly to play my favorite tunes and test alexas knowledge,1,"['i', 'love', 'my', 'echo', 'its', 'easy', 'to', 'operate', 'loads', 'of', 'funit', 'is', 'everything', 'as', 'advertised', 'i', 'use', 'it', 'mainly', 'to', 'play', 'my', 'favorite', 'tunes', 'and', 'test', 'alexas', 'knowledge']",
27,5,2018-07-30,Charcoal Fabric ,sounds great love them,1,"['sounds', 'great', 'love', 'them']",
28,4,2018-07-30,Charcoal Fabric ,fun item to play with and get used to using  sometimes has hard time answering the questions you ask but i think it will be better,1,"['fun', 'item', 'to', 'play', 'with', 'and', 'get', 'used', 'to', 'using', 'sometimes', 'has', 'hard', 'time', 'answering', 'the', 'questions', 'you', 'ask', 'but', 'i', 'think', 'it', 'will', 'be', 'better']",
29,5,2018-07-30,Charcoal Fabric ,just like the other one,1,"['just', 'like', 'the', 'other', 'one']",
30,5,2018-07-30,Sandstone Fabric ,still learning all the capabilitiesbut so far pretty pretty pretty good,1,"['still', 'learning', 'all', 'the', 'capabilitiesbut', 'so', 'far', 'pretty', 'pretty', 'pretty', 'good']",
31,4,2018-07-30,Charcoal Fabric ,i like it,1,"['i', 'like', 'it']",
32,5,2018-07-30,Sandstone Fabric ,she works well needs a learning command  for unique owners and users like alexa “learn” tasha’s birthday  or alexa “learn” my definition of fine etc other than that she is great,1,"['she', 'works', 'well', 'needs', 'a', 'learning', 'command', 'for', 'unique', 'owners', 'and', 'users', 'like', 'alexa', '\xe2\x80\x9clearn\xe2\x80\x9d', 'tasha\xe2\x80\x99s', 'birthday', 'or', 'alexa', '\xe2\x80\x9clearn\xe2\x80\x9d', 'my', 'definition', 'of', 'fine', 'etc', 'other', 'than', 'that', 'she', 'is', 'great']",
33,3,2018-07-30,Heather Gray Fabric ,the speakers sound pretty good for being so small and setup is pretty easy  i bought two and the reason i only rate it a  is i have followed the instructions for synching music to both units  i know ive done it correctly but they wont sync  that was my primary motivation for purchasing multiple units,1,"['the', 'speakers', 'sound', 'pretty', 'good', 'for', 'being', 'so', 'small', 'and', 'setup', 'is', 'pretty', 'easy', 'i', 'bought', 'two', 'and', 'the', 'reason', 'i', 'only', 'rate', 'it', 'a', 'is', 'i', 'have', 'followed', 'the', 'instructions', 'for', 'synching', 'music', 'to', 'both', 'units', 'i', 'know', 'ive', 'done', 'it', 'correctly', 'but', 'they', 'wont', 'sync', 'that', 'was', 'my', 'primary', 'motivation', 'for', 'purchasing', 'multiple', 'units']",
34,5,2018-07-30,Charcoal Fabric ,this device is awesome,1,"['this', 'device', 'is', 'awesome']",
35,5,2018-07-30,Charcoal Fabric ,i bought this to compare the speaker quality to our first generation speaker and i like the sound better  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,1,"['i', 'bought', 'this', 'to', 'compare', 'the', 'speaker', 'quality', 'to', 'our', 'first', 'generation', 'speaker', 'and', 'i', 'like', 'the', 'sound', 'better', 'i', 'will', 'ship', 'this', 'to', 'my', 'daughter', 'though', 'because', 'i', 'like', 'the', 'fact', 'that', 'my', 'first', 'generation', 'has', 'a', 'chargeable', 'base', 'that', 'we', 'bought', 'which', 'keeps', 'it', 'more', 'mobile', 'and', 'she', 'needs', 'a', 'better', 'sound', 'than', 'what', 'she', 'has', 'now']",
36,5,2018-07-30,Sandstone Fabric ,love my echo still learning all the things it will do wasn’t able to follow instructions included in the package but found a great one on utube,1,"['love', 'my', 'echo', 'still', 'learning', 'all', 'the', 'things', 'it', 'will', 'do', 'wasn\xe2\x80\x99t', 'able', 'to', 'follow', 'instructions', 'included', 'in', 'the', 'package', 'but', 'found', 'a', 'great', 'one', 'on', 'utube']",
37,4,2018-07-30,Heather Gray Fabric ,speaker is better than st generation echo,1,"['speaker', 'is', 'better', 'than', 'st', 'generation', 'echo']",
38,5,2018-07-30,Charcoal Fabric ,this thing is way cool  you should get one  if you want to be cool that is,1,"['this', 'thing', 'is', 'way', 'cool', 'you', 'should', 'get', 'one', 'if', 'you', 'want', 'to', 'be', 'cool', 'that', 'is']",
39,5,2018-07-30,Heather Gray Fabric ,this is my first digital assistant so im giving this a good review speaker is really good for the cheap price on prime day fun to play with and can be used as an alarm clock thats what i was going to get in the first place but i ended up with echo if you havent had a go with one then definitely try itwhat i like best is the number of other devices that it can connect with my purchase came with a smart plug for  which i connect my lamp to alexa turn of the lights,1,"['this', 'is', 'my', 'first', 'digital', 'assistant', 'so', 'im', 'giving', 'this', 'a', 'good', 'review', 'speaker', 'is', 'really', 'good', 'for', 'the', 'cheap', 'price', 'on', 'prime', 'day', 'fun', 'to', 'play', 'with', 'and', 'can', 'be', 'used', 'as', 'an', 'alarm', 'clock', 'thats', 'what', 'i', 'was', 'going', 'to', 'get', 'in', 'the', 'first', 'place', 'but', 'i', 'ended', 'up', 'with', 'echo', 'if', 'you', 'havent', 'had', 'a', 'go', 'with', 'one', 'then', 'definitely', 'try', 'itwhat', 'i', 'like', 'best', 'is', 'the', 'number', 'of', 'other', 'devices', 'that', 'it', 'can', 'connect', 'with', 'my', 'purchase', 'came', 'with', 'a', 'smart', 'plug', 'for', 'which', 'i', 'connect', 'my', 'lamp', 'to', 'alexa', 'turn', 'of', 'the', 'lights']",
40,5,2018-07-30,Charcoal Fabric ,my husband likes being able to use it to listen to music  i wish we knew all its capabilities,1,"['my', 'husband', 'likes', 'being', 'able', 'to', 'use', 'it', 'to', 'listen', 'to', 'music', 'i', 'wish', 'we', 'knew', 'all', 'its', 'capabilities']",
41,5,2018-07-30,Charcoal Fabric ,my android would not allow alexa to connect fortunately my sister was here with her apple cell after an hour tech support fixed the glitches we are up and running,1,"['my', 'android', 'would', 'not', 'allow', 'alexa', 'to', 'connect', 'fortunately', 'my', 'sister', 'was', 'here', 'with', 'her', 'apple', 'cell', 'after', 'an', 'hour', 'tech', 'support', 'fixed', 'the', 'glitches', 'we', 'are', 'up', 'and', 'running']",
42,4,2018-07-30,Charcoal Fabric ,so far so good,1,"['so', 'far', 'so', 'good']",
43,5,2018-07-30,Charcoal Fabric ,tried to play certain broadway shows like camelot and it gives ne the group camelot,1,"['tried', 'to', 'play', 'certain', 'broadway', 'shows', 'like', 'camelot', 'and', 'it', 'gives', 'ne', 'the', 'group', 'camelot']",
45,5,2018-07-30,Walnut Finish ,very satisfied with the echo alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa,1,"['very', 'satisfied', 'with', 'the', 'echo', 'alexa', 'now', 'controls', 'the', 'lights', 'in', 'my', 'family', 'room', 'and', 'my', 'wife', 'can', 'listen', 'to', 'jimmy', 'buffet', 'by', 'just', 'asking', 'alexa']",
46,2,2018-07-30,Charcoal Fabric ,its like siri in fact siri answers more accurately then alexa  i dont see a real need for it in my household though it was a good bargain on prime day deals,0,"['its', 'like', 'siri', 'in', 'fact', 'siri', 'answers', 'more', 'accurately', 'then', 'alexa', 'i', 'dont', 'see', 'a', 'real', 'need', 'for', 'it', 'in', 'my', 'household', 'though', 'it', 'was', 'a', 'good', 'bargain', 'on', 'prime', 'day', 'deals']",
47,5,2018-07-30,Charcoal Fabric ,love my echo still learning how every thing works but having tons of fun,1,"['love', 'my', 'echo', 'still', 'learning', 'how', 'every', 'thing', 'works', 'but', 'having', 'tons', 'of', 'fun']",
48,5,2018-07-30,Heather Gray Fabric ,i love you so much,1,"['i', 'love', 'you', 'so', 'much']",
49,3,2018-07-30,Charcoal Fabric ,no different than apple to play a specific list of music you must have an amazon of spotify “plusprimeetc” account  so you must pay to play “your” music   stars for that reason  everything else is 👍🏻 ,1,"['no', 'different', 'than', 'apple', 'to', 'play', 'a', 'specific', 'list', 'of', 'music', 'you', 'must', 'have', 'an', 'amazon', 'of', 'spotify', '\xe2\x80\x9cplusprimeetc\xe2\x80\x9d', 'account', 'so', 'you', 'must', 'pay', 'to', 'play', '\xe2\x80\x9cyour\xe2\x80\x9d', 'music', 'stars', 'for', 'that', 'reason', 'everything', 'else', 'is', '\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb']",
50,5,2018-07-30,Charcoal Fabric ,excelente lo unico es que no esta en español,1,"['excelente', 'lo', 'unico', 'es', 'que', 'no', 'esta', 'en', 'espa\xc3\xb1ol']",
51,5,2018-07-30,Charcoal Fabric ,im still learning how to use it but so far my echo is great the sound is actually much better than i was expecting,1,"['im', 'still', 'learning', 'how', 'to', 'use', 'it', 'but', 'so', 'far', 'my', 'echo', 'is', 'great', 'the', 'sound', 'is', 'actually', 'much', 'better', 'than', 'i', 'was', 'expecting']",
52,5,2018-07-30,Charcoal Fabric ,works as you’d expect and then some also good sound quality considering price  on sale and features,1,"['works', 'as', 'you\xe2\x80\x99d', 'expect', 'and', 'then', 'some', 'also', 'good', 'sound', 'quality', 'considering', 'price', 'on', 'sale', 'and', 'features']",
53,5,2018-07-30,Charcoal Fabric ,the sound from this echo nd generation is phenomenal  not to mention that i just love alexa  she is very helpful,1,"['the', 'sound', 'from', 'this', 'echo', 'nd', 'generation', 'is', 'phenomenal', 'not', 'to', 'mention', 'that', 'i', 'just', 'love', 'alexa', 'she', 'is', 'very', 'helpful']",
54,3,2018-07-30,Sandstone Fabric ,like google better,1,"['like', 'google', 'better']",
55,5,2018-07-30,Charcoal Fabric ,just had to have it and now lets play and learn how to get the most out of it,1,"['just', 'had', 'to', 'have', 'it', 'and', 'now', 'lets', 'play', 'and', 'learn', 'how', 'to', 'get', 'the', 'most', 'out', 'of', 'it']",
56,5,2018-07-30,Charcoal Fabric ,works as advertised very easy to setup still learning what this can do,1,"['works', 'as', 'advertised', 'very', 'easy', 'to', 'setup', 'still', 'learning', 'what', 'this', 'can', 'do']",
57,4,2018-07-30,Charcoal Fabric ,great sound and easy to set up,1,"['great', 'sound', 'and', 'easy', 'to', 'set', 'up']",
58,5,2018-07-30,Oak Finish ,love alexa bought others for friends,1,"['love', 'alexa', 'bought', 'others', 'for', 'friends']",
59,5,2018-07-30,Charcoal Fabric ,love the echo i purchased it for company for my husband he is  and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,"['love', 'the', 'echo', 'i', 'purchased', 'it', 'for', 'company', 'for', 'my', 'husband', 'he', 'is', 'and', 'alexa', 'is', 'great', 'all', 'he', 'has', 'to', 'do', 'is', 'say', 'her', 'name', 'and', 'she', 'tells', 'him', 'a', 'joke', 'and', 'plays', 'his', 'favorite', 'songs']",
61,5,2018-07-30,Charcoal Fabric ,love being able to listen to music easily still learning all the features available,1,"['love', 'being', 'able', 'to', 'listen', 'to', 'music', 'easily', 'still', 'learning', 'all', 'the', 'features', 'available']",
62,4,2018-07-30,Heather Gray Fabric ,did t really know what i could use this device for used it for a few things but need an overview,1,"['did', 't', 'really', 'know', 'what', 'i', 'could', 'use', 'this', 'device', 'for', 'used', 'it', 'for', 'a', 'few', 'things', 'but', 'need', 'an', 'overview']",
63,5,2018-07-30,Heather Gray Fabric ,love this just wish it had a built in hub,1,"['love', 'this', 'just', 'wish', 'it', 'had', 'a', 'built', 'in', 'hub']",
64,5,2018-07-30,Charcoal Fabric ,i use it primarily to play music  it works wonderfully  still getting used to some of the many things it will do  amazon has sent several tips since i got it thanks for all your help,1,"['i', 'use', 'it', 'primarily', 'to', 'play', 'music', 'it', 'works', 'wonderfully', 'still', 'getting', 'used', 'to', 'some', 'of', 'the', 'many', 'things', 'it', 'will', 'do', 'amazon', 'has', 'sent', 'several', 'tips', 'since', 'i', 'got', 'it', 'thanks', 'for', 'all', 'your', 'help']",
65,5,2018-07-30,Charcoal Fabric ,how easy if was to set up,1,"['how', 'easy', 'if', 'was', 'to', 'set', 'up']",
66,4,2018-07-30,Charcoal Fabric ,fast response which was amazing  clear concise answers and sound quality is fantastic  i am still getting used to alexia and have not usde echo to its full extent,1,"['fast', 'response', 'which', 'was', 'amazing', 'clear', 'concise', 'answers', 'and', 'sound', 'quality', 'is', 'fantastic', 'i', 'am', 'still', 'getting', 'used', 'to', 'alexia', 'and', 'have', 'not', 'usde', 'echo', 'to', 'its', 'full', 'extent']",
67,5,2018-07-30,Charcoal Fabric ,you’re all i needna na nana,1,"['you\xe2\x80\x99re', 'all', 'i', 'needna', 'na', 'nana']",
68,5,2018-07-30,Charcoal Fabric ,does everything as expected and more,1,"['does', 'everything', 'as', 'expected', 'and', 'more']",
69,5,2018-07-30,Sandstone Fabric ,i love my echo  works just like they said it would i dont have a smart home so i cannot speak about that function but everything else about it is good,1,"['i', 'love', 'my', 'echo', 'works', 'just', 'like', 'they', 'said', 'it', 'would', 'i', 'dont', 'have', 'a', 'smart', 'home', 'so', 'i', 'can', 'not', 'speak', 'about', 'that', 'function', 'but', 'everything', 'else', 'about', 'it', 'is', 'good']",
70,5,2018-07-30,Charcoal Fabric ,great sound in a small package—easy to set up and use fun to own,1,"['great', 'sound', 'in', 'a', 'small', 'package\xe2\x80\x94easy', 'to', 'set', 'up', 'and', 'use', 'fun', 'to', 'own']",
71,5,2018-07-30,Charcoal Fabric ,works and sounds great,1,"['works', 'and', 'sounds', 'great']",
72,5,2018-07-30,Heather Gray Fabric ,the sound is amazing and many collections of all music,1,"['the', 'sound', 'is', 'amazing', 'and', 'many', 'collections', 'of', 'all', 'music']",
73,4,2018-07-30,Sandstone Fabric ,setting up,1,"['setting', 'up']",
74,5,2018-07-30,Heather Gray Fabric ,she doesn’t always listen,1,"['she', 'doesn\xe2\x80\x99t', 'always', 'listen']",
75,5,2018-07-30,Charcoal Fabric ,it’s awesome,1,"['it\xe2\x80\x99s', 'awesome']",
76,4,2018-07-30,Heather Gray Fabric ,i bought this because it can control fios television it works well i’m hoping over time it will do more to control fios then i discovered all the other things alexa can do play music you ask for great sound from alexa play games play radio stations play old time radio programs like the long ranger alexa has many “apps” you can add to her abilities the other day i played madlibs great fun also alexa can control household appliances i just purchased alexa compatible power strips to control lighting fans and tv components i’m looking forward to implementing this controll you can also add other alexa components to have chosen music to play in all rooms where the components are located,1,"['i', 'bought', 'this', 'because', 'it', 'can', 'control', 'fios', 'television', 'it', 'works', 'well', 'i\xe2\x80\x99m', 'hoping', 'over', 'time', 'it', 'will', 'do', 'more', 'to', 'control', 'fios', 'then', 'i', 'discovered', 'all', 'the', 'other', 'things', 'alexa', 'can', 'do', 'play', 'music', 'you', 'ask', 'for', 'great', 'sound', 'from', 'alexa', 'play', 'games', 'play', 'radio', 'stations', 'play', 'old', 'time', 'radio', 'programs', 'like', 'the', 'long', 'ranger', 'alexa', 'has', 'many', '\xe2\x80\x9capps\xe2\x80\x9d', 'you', 'can', 'add', 'to', 'her', 'abilities', 'the', 'other', 'day', 'i', 'played', 'madlibs', 'great', 'fun', 'also', 'alexa', 'can', 'control', 'household', 'appliances', 'i', 'just', 'purchased', 'alexa', 'compatible', 'power', 'strips', 'to', 'control', 'lighting', 'fans', 'and', 'tv', 'components', 'i\xe2\x80\x99m', 'looking', 'forward', 'to', 'implementing', 'this', 'controll', 'you', 'can', 'also', 'add', 'other', 'alexa', 'components', 'to', 'have', 'chosen', 'music', 'to', 'play', 'in', 'all', 'rooms', 'where', 'the', 'components', 'are', 'located']",
77,5,2018-07-30,Heather Gray Fabric ,the speaker has excellent sound and works perfectly,1,"['the', 'speaker', 'has', 'excellent', 'sound', 'and', 'works', 'perfectly']",
78,5,2018-07-30,Charcoal Fabric ,i like it all,1,"['i', 'like', 'it', 'all']",
79,5,2018-07-30,Charcoal Fabric ,i love it it does everything,1,"['i', 'love', 'it', 'it', 'does', 'everything']",
80,5,2018-07-30,Heather Gray Fabric ,i was a little nervous when i received my new echo as im not really tech savvy i found it a bit intimidating at first but it didnt take me to long to figure it out im very happy with my purchase and now thinking of adding an echo spot,1,"['i', 'was', 'a', 'little', 'nervous', 'when', 'i', 'received', 'my', 'new', 'echo', 'as', 'im', 'not', 'really', 'tech', 'savvy', 'i', 'found', 'it', 'a', 'bit', 'intimidating', 'at', 'first', 'but', 'it', 'didnt', 'take', 'me', 'to', 'long', 'to', 'figure', 'it', 'out', 'im', 'very', 'happy', 'with', 'my', 'purchase', 'and', 'now', 'thinking', 'of', 'adding', 'an', 'echo', 'spot']",
81,4,2018-07-30,Charcoal Fabric ,i like it and still learning how to use it,1,"['i', 'like', 'it', 'and', 'still', 'learning', 'how', 'to', 'use', 'it']",
82,5,2018-07-30,Charcoal Fabric ,great technology cant believe the speaker volume and quality is so wonderful wish i had bought another one,1,"['great', 'technology', 'cant', 'believe', 'the', 'speaker', 'volume', 'and', 'quality', 'is', 'so', 'wonderful', 'wish', 'i', 'had', 'bought', 'another', 'one']",
83,5,2018-07-30,Heather Gray Fabric ,i purchased an echo dot for my husband for fathers day  he uses it constantly and after hearing the quality of sound of the echo nd generation it was a nobrainer  best gift ever,1,"['i', 'purchased', 'an', 'echo', 'dot', 'for', 'my', 'husband', 'for', 'fathers', 'day', 'he', 'uses', 'it', 'constantly', 'and', 'after', 'hearing', 'the', 'quality', 'of', 'sound', 'of', 'the', 'echo', 'nd', 'generation', 'it', 'was', 'a', 'nobrainer', 'best', 'gift', 'ever']",
84,4,2018-07-30,Charcoal Fabric ,works fine,1,"['works', 'fine']",
86,5,2018-07-30,Charcoal Fabric ,clear music,1,"['clear', 'music']",
87,5,2018-07-30,Charcoal Fabric ,fun to use good sound quality,1,"['fun', 'to', 'use', 'good', 'sound', 'quality']",
88,5,2018-07-30,Sandstone Fabric ,the echo works well i was able to sync it with my other amazon music devices,1,"['the', 'echo', 'works', 'well', 'i', 'was', 'able', 'to', 'sync', 'it', 'with', 'my', 'other', 'amazon', 'music', 'devices']",
